"indicator ",reporter_code,reporter_name,year,classification_version,product_code,partner_code,partner_name,value,source
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010121,A000,World,5,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010129,A000,World,5,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010130,A000,World,10,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010190,A000,World,15,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010221,A000,World,5,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010229,A000,World,7,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010231,A000,World,5,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010239,A000,World,7,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010290,A000,World,6,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010310,A000,World,,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010391,A000,World,,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010392,A000,World,,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010410,A000,World,7,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010420,A000,World,7,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010511,A000,World,5,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010512,A000,World,15,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010513,A000,World,15,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010514,A000,World,15,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010515,A000,World,15,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010594,A000,World,15,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010599,A000,World,15,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,010611,A000,World,15,CTS
